GroupId,GroupName,ParentGroupId
1,Group 1,
2,Group 2,1
3,Group 3,1
4,Group 4,1
5,Group 5,1
6,Group 6,1
7,Group 7,1
8,Group 8,1
9,Group 9,1
10,Group 10,1
11,Group 11,1
12,Group 12,1
13,Group 13,1
14,Group 14,1
15,Group 15,1
16,Group 16,1
17,Group 17,1
18,Group 18,1
19,Group 19,1
20,Group 20,1
21,Group 21,1
22,Group 22,2
23,Group 23,2
24,Group 24,2
25,Group 25,2
26,Group 26,2
27,Group 27,2
28,Group 28,2
29,Group 29,2
30,Group 30,2
31,Group 31,2
32,Group 32,2
33,Group 33,2
34,Group 34,2
35,Group 35,2
36,Group 36,2
37,Group 37,2
38,Group 38,2
39,Group 39,2
40,Group 40,2
41,Group 41,2
42,Group 42,3
43,Group 43,3
44,Group 44,3
45,Group 45,3
46,Group 46,3
47,Group 47,3
48,Group 48,3
49,Group 49,3
50,Group 50,3
51,Group 51,3
52,Group 52,3
53,Group 53,3
54,Group 54,3
55,Group 55,3
56,Group 56,3
57,Group 57,3
58,Group 58,3
59,Group 59,3
60,Group 60,3
61,Group 61,3
62,Group 62,4
63,Group 63,4
64,Group 64,4
65,Group 65,4
66,Group 66,4
67,Group 67,4
68,Group 68,4
69,Group 69,4
70,Group 70,4
71,Group 71,4
72,Group 72,4
73,Group 73,4
74,Group 74,4
75,Group 75,4
76,Group 76,4
77,Group 77,4
78,Group 78,4
79,Group 79,4
80,Group 80,4
81,Group 81,4
82,Group 82,5
83,Group 83,5
84,Group 84,5
85,Group 85,5
86,Group 86,5
87,Group 87,5
88,Group 88,5
89,Group 89,5
90,Group 90,5
91,Group 91,5
92,Group 92,5
93,Group 93,5
94,Group 94,5
95,Group 95,5
96,Group 96,5
97,Group 97,5
98,Group 98,5
99,Group 99,5
100,Group 100,5
101,Group 101,5
102,Group 102,6
103,Group 103,6
104,Group 104,6
105,Group 105,6
106,Group 106,6
107,Group 107,6
108,Group 108,6
109,Group 109,6
110,Group 110,6
111,Group 111,6
112,Group 112,6
113,Group 113,6
114,Group 114,6
115,Group 115,6
116,Group 116,6
117,Group 117,6
118,Group 118,6
119,Group 119,6
120,Group 120,6
121,Group 121,6
122,Group 122,7
123,Group 123,7
124,Group 124,7
125,Group 125,7
126,Group 126,7
127,Group 127,7
128,Group 128,7
129,Group 129,7
130,Group 130,7
131,Group 131,7
132,Group 132,7
133,Group 133,7
134,Group 134,7
135,Group 135,7
136,Group 136,7
137,Group 137,7
138,Group 138,7
139,Group 139,7
140,Group 140,7
141,Group 141,7
142,Group 142,8
143,Group 143,8
144,Group 144,8
145,Group 145,8
146,Group 146,8
147,Group 147,8
148,Group 148,8
149,Group 149,8
150,Group 150,8
151,Group 151,8
152,Group 152,8
153,Group 153,8
154,Group 154,8
155,Group 155,8
156,Group 156,8
157,Group 157,8
158,Group 158,8
159,Group 159,8
160,Group 160,8
161,Group 161,8
162,Group 162,9
163,Group 163,9
164,Group 164,9
165,Group 165,9
166,Group 166,9
167,Group 167,9
168,Group 168,9
169,Group 169,9
170,Group 170,9
171,Group 171,9
172,Group 172,9
173,Group 173,9
174,Group 174,9
175,Group 175,9
176,Group 176,9
177,Group 177,9
178,Group 178,9
179,Group 179,9
180,Group 180,9
181,Group 181,9
182,Group 182,10
183,Group 183,10
184,Group 184,10
185,Group 185,10
186,Group 186,10
187,Group 187,10
188,Group 188,10
189,Group 189,10
190,Group 190,10
191,Group 191,10
192,Group 192,10
193,Group 193,10
194,Group 194,10
195,Group 195,10
196,Group 196,10
197,Group 197,10
198,Group 198,10
199,Group 199,10
200,Group 200,10
201,Group 201,10
202,Group 202,11
203,Group 203,11
204,Group 204,11
205,Group 205,11
206,Group 206,11
207,Group 207,11
208,Group 208,11
209,Group 209,11
210,Group 210,11
211,Group 211,11
212,Group 212,11
213,Group 213,11
214,Group 214,11
215,Group 215,11
216,Group 216,11
217,Group 217,11
218,Group 218,11
219,Group 219,11
220,Group 220,11
221,Group 221,11
222,Group 222,12
223,Group 223,12
224,Group 224,12
225,Group 225,12
226,Group 226,12
227,Group 227,12
228,Group 228,12
229,Group 229,12
230,Group 230,12
231,Group 231,12
232,Group 232,12
233,Group 233,12
234,Group 234,12
235,Group 235,12
236,Group 236,12
237,Group 237,12
238,Group 238,12
239,Group 239,12
240,Group 240,12
241,Group 241,12
242,Group 242,13
243,Group 243,13
244,Group 244,13
245,Group 245,13
246,Group 246,13
247,Group 247,13
248,Group 248,13
249,Group 249,13
250,Group 250,13
251,Group 251,13
252,Group 252,13
253,Group 253,13
254,Group 254,13
255,Group 255,13
256,Group 256,13
257,Group 257,13
258,Group 258,13
259,Group 259,13
260,Group 260,13
261,Group 261,13
262,Group 262,14
263,Group 263,14
264,Group 264,14
265,Group 265,14
266,Group 266,14
267,Group 267,14
268,Group 268,14
269,Group 269,14
270,Group 270,14
271,Group 271,14
272,Group 272,14
273,Group 273,14
274,Group 274,14
275,Group 275,14
276,Group 276,14
277,Group 277,14
278,Group 278,14
279,Group 279,14
280,Group 280,14
281,Group 281,14
282,Group 282,15
283,Group 283,15
284,Group 284,15
285,Group 285,15
286,Group 286,15
287,Group 287,15
288,Group 288,15
289,Group 289,15
290,Group 290,15
291,Group 291,15
292,Group 292,15
293,Group 293,15
294,Group 294,15
