StaffId,StaffName,StaffType
1,Staff 1,3
2,Staff 2,6
3,Staff 3,7
4,Staff 4,4
5,Staff 5,7
6,Staff 6,7
7,Staff 7,7
8,Staff 8,7
9,Staff 9,4
10,Staff 10,4
11,Staff 11,6
12,Staff 12,1
13,Staff 13,4
14,Staff 14,6
15,Staff 15,7
16,Staff 16,5
17,Staff 17,3
18,Staff 18,1
19,Staff 19,6
20,Staff 20,4
21,Staff 21,4
22,Staff 22,5
23,Staff 23,1
24,Staff 24,5
25,Staff 25,2
26,Staff 26,4
27,Staff 27,6
28,Staff 28,7
29,Staff 29,7
30,Staff 30,7
31,Staff 31,3
32,Staff 32,7
33,Staff 33,3
34,Staff 34,4
35,Staff 35,5
36,Staff 36,7
37,Staff 37,7
38,Staff 38,7
39,Staff 39,4
40,Staff 40,2
41,Staff 41,1
42,Staff 42,5
43,Staff 43,5
44,Staff 44,2
45,Staff 45,2
46,Staff 46,6
47,Staff 47,4
48,Staff 48,6
49,Staff 49,7
50,Staff 50,7
51,Staff 51,2
52,Staff 52,6
53,Staff 53,6
54,Staff 54,2
55,Staff 55,4
56,Staff 56,4
57,Staff 57,5
58,Staff 58,5
59,Staff 59,4
60,Staff 60,4
61,Staff 61,6
62,Staff 62,7
63,Staff 63,2
64,Staff 64,5
65,Staff 65,6
66,Staff 66,5
67,Staff 67,5
68,Staff 68,7
69,Staff 69,1
70,Staff 70,6
71,Staff 71,4
72,Staff 72,3
73,Staff 73,2
74,Staff 74,6
75,Staff 75,4
76,Staff 76,3
77,Staff 77,6
78,Staff 78,4
79,Staff 79,3
80,Staff 80,5
81,Staff 81,1
82,Staff 82,1
83,Staff 83,3
84,Staff 84,7
85,Staff 85,7
86,Staff 86,4
87,Staff 87,7
88,Staff 88,7
89,Staff 89,5
90,Staff 90,5
91,Staff 91,4
92,Staff 92,4
93,Staff 93,4
94,Staff 94,1
95,Staff 95,2
96,Staff 96,5
97,Staff 97,3
98,Staff 98,4
99,Staff 99,2
100,Staff 100,6
101,Staff 101,1
102,Staff 102,3
103,Staff 103,6
104,Staff 104,5
105,Staff 105,2
106,Staff 106,1
107,Staff 107,5
108,Staff 108,2
109,Staff 109,2
110,Staff 110,3
111,Staff 111,2
112,Staff 112,3
113,Staff 113,6
114,Staff 114,4
115,Staff 115,6
116,Staff 116,5
117,Staff 117,3
118,Staff 118,4
119,Staff 119,4
120,Staff 120,5
121,Staff 121,2
122,Staff 122,6
123,Staff 123,1
124,Staff 124,5
125,Staff 125,7
126,Staff 126,1
127,Staff 127,2
128,Staff 128,1
129,Staff 129,7
130,Staff 130,1
131,Staff 131,4
132,Staff 132,3
133,Staff 133,6
134,Staff 134,1
135,Staff 135,2
136,Staff 136,7
137,Staff 137,4
138,Staff 138,7
139,Staff 139,1
140,Staff 140,1
141,Staff 141,4
142,Staff 142,6
143,Staff 143,3
144,Staff 144,5
145,Staff 145,4
146,Staff 146,6
147,Staff 147,7
148,Staff 148,1
149,Staff 149,7
150,Staff 150,1
151,Staff 151,1
152,Staff 152,3
153,Staff 153,5
154,Staff 154,5
155,Staff 155,4
156,Staff 156,5
157,Staff 157,6
