StaffId,GroupId
45380,2567
23428,2337
93637,2674
78337,4702
8375,3966
24927,945
15967,4962
66831,2190
36772,5984
51721,8
93260,771
58049,6666
57333,9077
38288,6581
32972,9443
63707,2472
47817,9984
54115,8575
5827,1836
92897,3190
5456,1087
73618,4908
62753,1451
80029,291
51047,3765
72413,4078
34725,9399
13227,7811
94597,3647
72234,7953
90159,5952
16584,836
69808,6265
69095,5310
71630,8353
9024,3660
74475,555
93663,4096
40497,1112
4248,6027
66315,5697
16208,3352
67287,3254
49324,3586
61943,1715
54849,6576
70235,9196
75279,1273
56134,2040
65765,2649
86069,6855
8009,7947
7077,70
93534,454
84127,942
50184,6556
95187,7822
34269,7966
27162,3655
95001,5301
45889,323
28701,5171
19985,8896
36031,8224
96195,5698
57139,7126
76068,3182
79742,1799
4848,583
56787,1811
83457,2681
80127,1524
85633,1958
53586,810
17561,8821
24034,816
18617,7757
85180,3453
33833,3999
95500,8766
59666,2661
90831,9902
64845,9449
28365,9151
45566,3937
66344,6761
53175,7541
82879,5812
70867,2626
51055,6347
63376,2621
51995,4386
75277,2102
65596,2579
76936,6464
29646,5470
52114,967
2767,2535
4898,9317
45010,6456
25288,7547
59320,700
12647,6117
75505,2321
72492,6695
64131,3132
68730,8090
42962,4137
37772,4650
4269,9214
31460,5047
57088,3063
77706,6610
32382,2297
45177,4030
45923,1371
83108,5984
94842,3180
84327,9318
66114,6203
34241,4241
32285,7913
30140,7239
82717,1855
92124,9264
58065,6234
52859,8877
23750,2855
24805,4711
11076,3018
535,8218
78315,4947
31588,8478
17554,8930
16502,9790
72651,5
84261,268
34951,1210
87520,3628
98006,7053
13506,7116
24473,6128
39258,126
48168,1170
11229,8386
39923,5556
64240,8893
38581,9677
41470,2595
95396,4513
82391,4623
37342,7548
98299,7002
79175,4180
63628,9490
61908,2473
84773,5633
58515,4195
37674,9188
70908,1050
48409,9827
67885,7973
78856,357
6292,9353
93343,5090
54738,9987
1841,5940
94384,6645
11087,1006
19040,4192
59486,6213
89557,154
